id,title,band,filepath,looping,spotifyLink,youtubeLink,setlists,transposeSemitones,tuneCents,notes,chords
C0970F8D-9097-4196-890F-7B766FAD650A,Cry Blood Africans,Burning Spear,Cry Blood Africans.wav,false,,,"",0,0,"Scrub guitar with shimmer
Sax in after first verse (G signal)
Building through
Fade to end",Cm Fm
D748471B-CA26-45DF-8E12-C726914B9C05,Days Chasing Days,The Congos,Days Chasing Days.mp3,false,,,"",0,0,,
EFC165BD-6142-4DCC-A2FD-0AE7B51D1485,Evil Fe Burn,Prince David / Moa-Anbessa,Evil Fe Burn.mp3,false,,,"",0,0,,
68F3677F-A8B2-4DF7-9B97-674A96406A40,Flood Water,Israel Vibration,Flood Water.mp3,false,,,"",0,0,,
01B6DEF9-1314-4AB6-A70F-46B9CFFDC6E2,Garden of Life,The Congos,Garden of Life.mp3,false,,,"",0,0,,
4791F3B3-8B16-4184-A753-6D66E3A59F3C,Gates of Zion,Mighty Diamonds,Gates of Zion.mp3,false,,,"  August bank holiday ",0,0,,
99150C48-0B36-48B1-97CD-75DEC7D479C5,Give Thanks  and Praise,Barry Brown,Give Thanks  and Praise.mp3,false,,,"",0,0,,
CF2F56B4-0BA4-4235-9D2C-0F65F8604DB7,Hail HIM,Burning Spear,Hail HIM.mp3,false,,,"",0,0,,Em Bm  
D72A41A9-21A5-4AEE-8CF5-AA63E917D4CD,Independant Intavenshan,Linton Kwesi Johnson,Independant Intavenshan.mp3,false,,,"",0,0,,
3B88DE01-8821-42E7-BF94-841F00795772,It Noh Funny Am,Linton Kwesi Johnson,It Noh Funny Am.wav,false,,,"",0,0,,
ED99CD23-EE7E-4F86-AB29-B6FBE0836C57,Jah A Guh Raid,Burning Spear,Jah A Guh Raid.mp3,false,,,"",0,0,,
C6D2ACD9-55D7-45F6-A255-CA931C2D2491,Jah Is the Light,Johnny Clarke,Jah Is the Light.mp3,false,,,"",0,0,,
2F2888BF-911F-4A8C-8F4A-C236E072C32C,Jahovia,Danny Red,Jahovia.mp3,false,,,"",0,0,,
21EEDBC0-8D15-4298-8E1F-BF539619BB9B,Jerusalem,Alpha Blondie,Jerusalem.mp3,false,,,"",0,0,,
0F91662E-F1B0-4C75-A927-5A2A098080A4,Jordan River,Burning Spear,Jordan River.mp3,false,,,"",0,0,,
974A855A-7A08-4528-B10A-20E31C819EC0,Lets All Unite,Hugh Mundell,Lets All Unite.mp3,false,,,"",0,0,,
FE9A3A47-7209-48E4-AE79-A455BE97189C,Lion In The Jungle,Israel Vibration,Lion In The Jungle.mp3,false,,,"",0,0,,
563F4A41-99E4-44F4-8C1C-B9382FCBD622,Marshall,Ras Imruh Asha,Marshall.wav,false,,,"",0,0,,
BCEBA63C-6A7B-44FC-BF45-734893BC735E,Mud Up,Israel Vibration,Mud Up.mp3,false,,,"",0,0,,
440F1978-F13E-4777-ACD3-69BFBD6C5A31,None Shall Escape the Judgement,Johnny Clarke,None Shall Escape the Judgement.wav,false,,,"",0,0,,
2A73E786-E049-4BD7-A992-24484A093CF1,One Step Forward,Max Romeo / The Upsetters,One Step Forward.mp3,false,,,"",0,0,,
37FEBCAA-E55B-4987-A524-5AD53DF7F624,Praise Jah,Johnny Clarke,Praise Jah.mp3,false,,,"",0,0,,
FFBE6286-1A69-47C9-A8B2-0F3AC5A8F021,Promised Land,Majek Fashek,Promised Land.mp3,false,,,"",0,0,,
A28FBA19-0C32-42BF-A129-1B85538FC14C,Prophet Has Arise,Israel Vibration,Prophet Has Arise.mp3,false,,,"",0,0,,
B5104A3E-6540-4D3A-88A9-D9814022667C,Rat A Cut Bottle,Lion Youth,Rat A Cut Bottle.wav,false,,,"",0,0,,
234B5B46-CBDB-455E-8C19-C60FDE6B0921,Ready or Not,Gil Scott-Heron,Ready or Not.mp3,false,,,"",0,0,,
FD4645B4-584D-4946-A97B-D7F6A86AD0A1,Rocking Time,Monyaka Band,Rocking Time.wav,false,,,"",0,0,,
9C909A0B-9DBF-4BA6-AFB6-63EAA612B9DD,Rude Boy,Johnny Clarke,Rude Boy.mp3,false,,,"",0,0,,
8A5603A4-FCF6-40FF-899E-2C5ACFB6C2CC,Rude Boy Shufflinâ€™,Israel Vibration,Rude Boy Shufflin.wav,false,,,"",0,0,,
F208672C-5927-4389-A8C9-DC3FC848A000,Some a Thief,Congos,Some a Thief.mp3,false,,,"",0,0,,
26325A94-5C3A-4451-8F2E-1FAA0DB161D5,The Day Shall Come,Gerb and 3 Bags Full,The Day Shall Come.mp3,false,,,"",0,0,,
6D6CDEBD-F3EF-4418-B161-254DB5082F46,Trodding,Anthony John,Trodding.mp3,false,,,"",0,0,,
944C27C7-77CB-44DB-B617-4C9435B876E9,True Rasta,Misty In Roots,True Rasta.aif,false,,,"",0,0,,
7F2B0C08-FA83-4A39-BB66-FAEBE003BEEE,Ketch Vampire,Devon Irons,Vampire.mp3,false,,,"",0,0,,
53875DA0-6740-4325-A363-C67519F577C4,Why You So Craven,Israel Vibration,Why You So Craven.mp3,false,,,"",0,0,,
AD966E68-72DC-4E53-B679-8FDC4DE45302,Wicked Shall Not Reign,Eek-a-Mouse / Ripton Hilton,Wicked Shall Not Reign.mp3,false,,,"",0,0,,
2F55A091-D952-437E-AADC-5EFF318DA93E,Wise Words,Al Campbell,Wise Words.mp3,false,,,"",0,0,,
34CECA5D-139A-4B67-9BE7-49BD3EF5ABEE,Words of the Father,Earl Cunningham,Words of the Father.wav,false,,,"",0,0,,
